Stop_Name,Boardings,Model_Name
Provo,970.71,v8.3.2
Orem,1711.13,v8.3.2
American Fork,722.77,v8.3.2
Lehi,890.31,v8.3.2
Draper,832.77,v8.3.2
South Jordan,961.45,v8.3.2
Murray,2765.87,v8.3.2
Salt Lake Central,2214.55,v8.3.2
North Temple,2934.03,v8.3.2
Woods Cross,994.92,v8.3.2
Farmington,935.55,v8.3.2
Layton,979.86,v8.3.2
Clearfield,953.35,v8.3.2
Roy,814.99,v8.3.2
Ogden,1154.68,v8.3.2
Provo,1038.66,v9.0
Orem,1768.46,v9.0
American Fork,781.61,v9.0
Lehi,972.26,v9.0
Draper,828.24,v9.0
South Jordan,956.16,v9.0
Murray,2749.78,v9.0
Salt Lake Central,2142.22,v9.0
North Temple,2711.65,v9.0
Woods Cross,811.24,v9.0
Farmington,838.05,v9.0
Layton,817.63,v9.0
Clearfield,827.97,v9.0
Roy,799.85,v9.0
Ogden,1098.69,v9.0
Provo,2573.11567,Observed
Orem,1836.663027,Observed
American Fork,919.9269017,Observed
Lehi,1530.134,Observed
Draper,1006.989059,Observed
South Jordan,977.379648,Observed
Murray,2057.506316,Observed
Salt Lake Central,1815.183211,Observed
North Temple,3168.655123,Observed
Woods Cross,645.391188,Observed
Farmington,524.3458714,Observed
Layton,783.6486038,Observed
Clearfield,890.0723994,Observed
Roy,539.6979454,Observed
Ogden,1440.210239,Observed
