County ,v9Value,v8Value,Location,Notes
Box Elder,3601,136,FAR-1082 Bird Refuge,
,3602,137,SR-13/83 to Corinne,
,3603,,FAR-1112 to Bear River,New External
,3604,138,I-15 to Tremonton,
,3605,139,SR-38 to Riverside,
,3606,140,SR-91 to Logan,Moved for Area Expansion
Weber,3607,421,FAR-3462 N Ogden Pass,Moved for Area Expansion
,3608,422,SR-39 Ogden Canyon,Moved for Area Expansion
,3609,423,I-84 to Summit,Moved for Area Expansion
Salt Lake,3610,,FAR-2688 Butterfield Cyn to Tooele,New External
,3611,1783,SR-201 to Tooele,
,3612,1782,I-80 to Tooele,
,3613,1784,SR-65 Mountain Dell Canyon,Moved for Area Expansion
,3614,1785,I-80 East Parley's,Moved for Area Expansion
,,1786,FAR-2193 Millcreek Canyon,Removed for Area Expansion
,3615,1787,SR-190 Guardsman Pass,
,,1788,SR-210 Little Cottonwood,Removed for Area Expansion
Utah,3616,,FAR-1828 Goshen Canyon,New External
,3617,2880,US-6 Eureka,
,3618,2881,SR-73 Rush Valley,
,3619,2874,FAR-3108 Cascade Spring,Moved for Area Expansion
,3620,2875,SR-189 Provo Canyon,Moved for Area Expansion
,3621,2876,FAR-2865 Sixth Water / Horse Creek,Moved for Area Expansion
,3622,,FAR-2863 Sheep Creek,New External
,3623,2877,US-6 Price Canyon,Moved for Area Expansion
,3624,,SR-96 Scofield,New External
,3625,,FAR-2495 Skyline Dr,New External
,3626,,US-89 Thistle,New External
,3627,2878,FAR-1822 N Nebo Loop,Moved for Area Expansion
,3628,2879,I-15 to Juab,
,3629,,FAR-1826 South Ridge Farms,New External
