;Year,Airport,PVU,Lagoon,ENSIGN,WESTMIN,UOFU_MAIN,UOFU_MED,WSU_MAIN,WSU_Davis,WSU_WEST,SLCC_MAIN,SLCC_SC,SLCC_JD,SLCC_MEAD,SLCC_ML,SLCC_LB,SLCC_HL,SLCC_AIRP,SLCC_WEST,SLCC_HM,BYU,UVU_MAIN,UVU_GENEVA,UVU_LEHI,UVU_VINE,UVU_PAYSON
2010,26389,6,6424,2000,3150,30800,0,18400,4850,0,20200,6250,7050,0,1750,0,0,0,0,0,32950,31750,0,0,0,0
2011,25743,5,6505,2100,3350,31850,0,19750,5200,0,19400,6000,6800,0,1700,0,0,0,0,0,33000,32750,0,0,0,0
2012,25380,5,6595,2200,3300,32400,0,20600,5400,0,18900,5850,6600,0,1650,0,0,0,0,0,34400,31800,0,0,0,0
2013,25486,68,6702,2200,3100,35250,0,19450,5100,0,18500,5750,6450,0,1600,0,0,0,0,0,31100,30900,0,0,0,0
2014,26692,221,6792,2150,3000,31150,0,20250,5300,0,17650,5500,6200,0,1550,0,0,0,0,0,30500,31600,0,0,0,0
2015,27954,246,6898,2150,2800,31300,0,19750,5200,0,16450,5100,5750,0,1450,0,0,0,0,0,33450,33550,0,0,0,0
2016,29235,274,7034,2100,2700,31600,0,20500,5400,0,16950,5250,5950,0,1500,0,0,0,0,0,34250,35150,0,0,0,0
2017,30553,326,7168,2050,2550,32300,0,21350,5600,0,17050,5300,5950,0,1500,0,0,0,0,0,34350,37800,0,0,0,0
2018,32263,290,7300,2000,2500,32150,0,21250,5600,0,15400,4750,5400,0,1350,0,0,0,0,0,34500,39950,0,0,0,0
2019,32700,367,7434,1950,2200,32000,0,22300,5850,0,15600,4850,5450,0,1350,0,0,0,0,0,34300,40300,0,1300,0,0
2020,33142,488,7566,2000,1850,32200,0,22250,5850,0,14400,4450,5050,0,1250,0,0,0,0,0,36450,39450,0,1350,0,0
2021,33590,521,7717,2000,1550,33550,0,22400,5900,0,14350,4450,5050,0,1250,0,0,0,0,0,35600,39700,0,1400,0,0
2022,34044,625,7872,2000,2500,33800,0,22500,5900,0,13900,4300,4850,0,1200,0,0,0,0,0,34750,41500,0,1450,0,0
2023,34504,1238,8029,2000,2500,35100,0,23650,6200,0,17150,5300,6000,0,1500,0,0,0,0,0,36400,43100,0,1450,0,0
2024,34970,1615,8190,2000,2500,35600,0,23900,6300,0,17200,5350,6000,0,1500,0,0,0,0,0,36900,44700,0,1500,0,0
2025,35443,1888,8354,2000,2500,35900,0,24100,6350,0,17200,5350,6000,0,1500,0,0,0,0,0,37500,46400,0,1550,0,0
2026,35922,1901,8476,2000,2500,36100,0,24350,6400,0,17150,5300,6000,0,1500,0,0,0,0,0,37500,47150,0,1600,550,0
2027,36408,1916,8600,2000,2500,36300,0,24600,6450,0,17100,5300,6000,0,1500,0,0,0,0,0,37550,48100,0,1650,750,0
2028,36900,3132,8725,2000,2500,36350,0,24850,6550,0,17000,5300,5950,0,1500,0,0,0,0,0,37600,48850,0,1700,900,0
2029,37399,3140,8852,2000,2500,36600,0,25200,6650,0,17200,5350,6000,0,1500,0,0,0,0,0,37650,48850,0,1700,1050,650
2030,37904,3150,8981,2000,2500,36850,0,25550,6700,0,17400,5400,6100,0,1500,0,0,0,0,0,37650,49750,0,1750,1200,750
2031,38417,3160,9112,2000,2500,37100,0,25900,6800,0,17550,5450,6150,0,1550,0,0,0,0,0,37700,50650,0,1800,1350,850
2032,38936,3171,9245,2000,2500,37350,0,26250,6900,0,17750,5500,6200,0,1550,0,0,0,0,0,37750,51600,0,1850,1500,1000
2033,39462,3185,9380,2000,2550,37600,0,26550,7000,0,17950,5550,6300,0,1550,0,0,0,0,0,37750,52500,0,1900,1650,1100
2034,39996,3199,9517,2000,2550,37850,0,26900,7050,0,18150,5600,6350,0,1600,0,0,0,0,0,37800,53400,0,1950,1800,1200
2035,40537,3212,9656,2000,2600,38100,0,27250,7150,0,18300,5700,6400,0,1600,0,0,0,0,0,37850,54300,0,1950,1950,1300
2036,41085,3225,9779,2000,2600,38350,0,27600,7250,0,18500,5750,6450,0,1600,0,0,0,0,0,37900,55250,0,2000,2100,1450
2037,41640,3237,9905,2000,2650,38600,0,27900,7350,0,18700,5800,6550,0,1650,0,0,0,0,0,37900,56150,0,2050,2250,1550
2038,42203,3251,10031,2000,2650,38850,0,28250,7450,0,18900,5850,6600,0,1650,0,0,0,0,0,37950,57050,0,2100,2400,1650
2039,42773,3266,10160,2000,2700,39100,0,28600,7500,0,19050,5900,6650,0,1650,0,0,0,0,0,38000,57950,0,2150,2600,1750
2040,43352,3281,10290,2000,2700,39350,0,28950,7600,0,19250,5950,6750,0,1700,0,0,0,0,0,38050,58850,0,2200,2750,1900
2041,43938,3297,10422,2000,2750,39600,0,29300,7700,0,19450,6050,6800,0,1700,0,0,0,0,0,38050,59800,0,2200,2900,2000
2042,44532,3311,10555,2000,2800,39850,0,29600,7800,0,19600,6100,6850,0,1700,0,0,0,0,0,38100,60700,0,2250,3050,2100
2043,45134,3327,10690,2000,2800,40100,0,29950,7900,0,19800,6150,6950,0,1750,0,0,0,0,0,38150,61600,0,2300,3200,2200
2044,45744,3342,10827,2000,2850,40350,0,30300,7950,0,20000,6200,7000,0,1750,0,0,0,0,0,38500,62500,0,2350,3350,2350
2045,46362,3358,10965,2000,2850,40600,0,30650,8050,0,20200,6250,7050,0,1750,0,0,0,0,0,38900,63450,0,2400,3500,2450
2046,46989,3375,11088,2000,2900,40850,0,31000,8150,0,20350,6300,7150,0,1800,0,0,0,0,0,39300,64350,0,2450,3650,2550
2047,47624,3391,11211,2000,2900,41100,0,31300,8250,0,20550,6400,7200,0,1800,0,0,0,0,0,39300,65250,0,2450,3800,2650
2048,48268,3407,11336,2000,2950,41350,0,31650,8300,0,20750,6450,7250,0,1800,0,0,0,0,0,39300,66150,0,2500,3950,2800
2049,48921,3423,11462,2000,2950,41600,0,32000,8400,0,20950,6500,7300,0,1800,0,0,0,0,0,39300,67050,0,2550,4100,2900
2050,49582,3439,11590,2000,3000,41850,0,32350,8500,0,21100,6550,7400,0,1850,0,0,0,0,0,39300,68000,0,2600,4300,3000
